physical_quantity,power
type,active
2023-08-06 01:38:53,0.051161
2023-08-06 01:39:08,0.050564
2023-08-06 01:39:25,0.050815
2023-08-06 01:39:40,0.050803
2023-08-06 01:39:57,0.050717
2023-08-06 01:40:12,0.050791
2023-08-06 01:40:29,0.050316
2023-08-06 01:40:45,0.050307
2023-08-06 01:41:01,0.05113
2023-08-06 01:41:16,0.05056
2023-08-06 01:41:33,0.050515
2023-08-06 01:41:48,0.050684
2023-08-06 01:42:05,0.05098
2023-08-06 01:42:20,0.050814
2023-08-06 01:42:37,0.050494
2023-08-06 01:42:52,0.05012
2023-08-06 01:43:09,0.050578
2023-08-06 01:43:24,0.050011
2023-08-06 01:43:41,0.050285
2023-08-06 01:43:56,0.050436
2023-08-06 01:44:13,0.050542
2023-08-06 01:44:28,0.050116
2023-08-06 01:44:45,0.050452
2023-08-06 01:45:00,0.050244
2023-08-06 01:45:17,0.050133
2023-08-06 01:45:32,0.050167
2023-08-06 01:45:49,0.050243
2023-08-06 01:46:04,0.050805
2023-08-06 01:46:21,0.05006
2023-08-06 01:46:36,0.050781
2023-08-06 01:46:53,0.050825
2023-08-06 01:47:08,0.050898
2023-08-06 01:47:25,0.050598
2023-08-06 01:47:40,0.050217
2023-08-06 01:47:57,0.050164
2023-08-06 01:48:12,0.050371
2023-08-06 01:48:29,0.050328
2023-08-06 01:48:44,0.050797
2023-08-06 01:49:00,0.050587
2023-08-06 01:49:17,0.05077
2023-08-06 01:49:33,0.050493
2023-08-06 01:49:48,0.050882
2023-08-06 01:50:04,0.050791
2023-08-06 01:50:19,0.050557
2023-08-06 01:50:36,0.050863
2023-08-06 01:50:51,0.050755
2023-08-06 01:51:08,0.051016
2023-08-06 01:51:25,0.050737
2023-08-06 01:51:41,0.105266
2023-08-06 01:51:56,0.15904
2023-08-06 01:52:13,0.150826
2023-08-06 01:52:28,0.149381
2023-08-06 01:52:45,0.148004
2023-08-06 01:53:00,0.148122
2023-08-06 01:53:17,0.149745
2023-08-06 01:53:32,0.150272
2023-08-06 01:53:49,0.149998
2023-08-06 01:54:04,0.150178
2023-08-06 01:54:21,0.149799
